date,net_return
2015-01-02,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,-0.0004999999999999449
2015-02-02,0.010529553655833634
2015-02-03,0.011880596918103947
2015-02-04,0.004751787238439276
2015-02-05,0.011845863843249482
2015-02-06,-0.003953275211058371
2015-02-09,-0.005348014980484761
2015-02-10,0.012754144098958697
2015-02-11,0.00022276824628919556
2015-02-12,0.016466360252324508
2015-02-13,0.0035110138521756706
2015-02-17,-0.0008510600782536404
2015-02-18,-0.0020143140702399975
2015-02-19,0.00011939024319196356
2015-02-20,0.006901066474541473
2015-02-23,-0.0030043602494093102
2015-02-24,0.004968965731560804
2015-02-25,0.0017558489798032983
2015-02-26,0.0032721261015145053
2015-02-27,-0.005278970681700801
2015-03-02,0.011664944050610249
2015-03-03,-0.003917284736888238
2015-03-04,-0.0029544983302065564
2015-03-05,0.0009407998586909994
2015-03-06,-0.015115391885144214
2015-03-09,0.003626250059432401
2015-03-10,-0.017029414326433345
2015-03-11,-0.004885732430762069
2015-03-12,0.009184234603133223
2015-03-13,-0.005616967657239402
2015-03-16,0.011273726592378575
2015-03-17,-0.002526463839922166
2015-03-18,0.008356413149558373
2015-03-19,-0.004130109962338424
2015-03-20,0.009578464522826069
2015-03-23,-0.0006632261576784426
2015-03-24,-0.004393128406338098
2015-03-25,-0.01934421092907801
2015-03-26,-0.003024198746969242
2015-03-27,0.0036937283619429273
2015-03-30,0.010025874549326685
2015-03-31,-0.008446894449437248
2015-04-01,-0.0057321686404508965
2015-04-02,0.0009945012702352596
2015-04-06,0.008010591435250625
2015-04-07,0.001121786150811488
2015-04-08,0.003584763906375299
2015-04-09,0.003417543250766153
2015-04-10,0.005593636462644103
2015-04-13,-0.0035138209891761862
2015-04-14,-0.00046683499186472854
2015-04-15,0.004708562881951872
2015-04-16,-0.0007868496832429406
2015-04-17,-0.013536968844851116
2015-04-20,0.012703585381901972
2015-04-21,-0.0013507134859874759
2015-04-22,0.007679003277563989
2015-04-23,-0.0008653017342579172
2015-04-24,0.013615474194228039
2015-04-27,-0.0032686673826571866
2015-04-28,4.152269805901554e-05
2015-04-29,-0.004193428595307247
2015-04-30,-0.010783474743481403
2015-05-01,0.011137006131282767
2015-05-04,0.0004904467227471176
2015-05-05,-0.00975706559308498
2015-05-06,-0.004702034108120978
2015-05-07,0.005515215490881742
2015-05-08,0.01148927942290423
2015-05-11,-0.005673985988831842
2015-05-12,-0.0016283086681493364
2015-05-13,9.733332769457093e-05
2015-05-14,0.01245305636029026
2015-05-15,0.0001714961408563198
2015-05-18,0.0027946911932086316
2015-05-19,-0.001465263723989585
2015-05-20,-0.001326282121635769
2015-05-21,0.0008552286607257376
2015-05-22,-0.003683411674058834
2015-05-26,-0.010318736025048736
2015-05-27,0.01144658129512477
2015-05-28,-0.0009000867931255874
2015-05-29,-0.005170166001682408
2015-06-01,0.0028335514726895994
2015-06-02,-0.0017141672719462875
2015-06-03,0.0023195006710912125
2015-06-04,-0.0078146497014695
2015-06-05,-0.0038638081158338666
2015-06-08,-0.007051608883432037
2015-06-09,9.887463238489325e-05
2015-06-10,0.011149317156740945
2015-06-11,0.00205901664505892
2015-06-12,-0.008163142978809601
2015-06-15,-0.006038485855904718
2015-06-16,0.006702123366593815
2015-06-17,0.004023371351381311
2015-06-18,0.012494096207279926
2015-06-19,-0.005279647386265962
2015-06-22,0.004832640235949759
2015-06-23,0.0014779682259127291
2015-06-24,-0.005268701877857218
2015-06-25,-0.002944220443881429
2015-06-26,-0.0022357165593036576
2015-06-29,-0.019709805191867713
2015-06-30,0.001105639386836943
2015-07-01,0.00819592605720132
2015-07-02,0.0007993439534210722
2015-07-06,-0.0023992638609174888
2015-07-07,0.005356501393017243
2015-07-08,-0.012516593801628728
2015-07-09,0.0007225306570417533
2015-07-10,0.013418078805395028
2015-07-13,0.01503952725134261
2015-07-14,0.005378204503217798
2015-07-15,0.00010473015233514182
2015-07-16,0.009012800557419265
2015-07-17,0.008666875643960958
2015-07-20,0.0020808519762645084
2015-07-21,-0.002556413820181347
2015-07-22,-0.005101798830594029
2015-07-23,-0.0036650436465607283
2015-07-24,-0.00011779019549629233
2015-07-27,-0.006274075433917781
2015-07-28,0.009150575150319362
2015-07-29,0.009004545566888345
2015-07-30,-0.0012509325651823833
2015-07-31,-0.003422570647473422
2015-08-03,0.000484795148891104
2015-08-04,-0.0023065003673563567
2015-08-05,0.0028682618124151738
2015-08-06,-0.008340608814819128
2015-08-07,0.0025590272160658234
2015-08-10,0.012177560829856438
2015-08-11,-0.008255669082278594
2015-08-12,0.0016708102341218556
2015-08-13,0.0009103336810882823
2015-08-14,0.003270223877265277
2015-08-17,0.0029156716032467944
2015-08-18,-0.003686292028138416
2015-08-19,-0.0075608704562049045
2015-08-20,-0.0228209290850514
2015-08-21,-0.035276166307793844
2015-08-24,-0.03811269733214806
2015-08-25,-0.011294215955241493
2015-08-26,0.04865880184046745
2015-08-27,0.022671604195365624
