date,net_return
2015-01-02,0.0
2015-01-05,-0.014767691013756079
2015-01-06,-0.008297031955455503
2015-01-07,0.012313434462906114
2015-01-08,0.017362885403976458
2015-01-09,-0.0061238615307912525
2015-01-12,-0.006329846910380854
2015-01-13,0.00027531901395061453
2015-01-14,-0.00787021176079572
2015-01-15,-0.010062088304690797
2015-01-16,0.010861386668725936
2015-01-20,0.0013428239335819825
2015-01-21,0.0038689742039188513
2015-01-22,0.01806911767964614
2015-01-23,-0.005698119706845084
2015-01-26,-0.001590906519979951
2015-01-27,-0.023808162954055523
2015-01-28,-0.0066717327619979505
2015-01-29,0.017319103610858866
2015-01-30,-0.008716540355182434
2015-02-02,0.010429641695812064
2015-02-03,0.01161687189566285
2015-02-04,0.004791498246714765
2015-02-05,0.011913065700621672
2015-02-06,-0.003950184981880933
2015-02-09,-0.005369664084624248
2015-02-10,0.012786634457471191
2015-02-11,0.000483194291898581
2015-02-12,0.016099622071007902
2015-02-13,0.0035603132114945257
2015-02-17,-0.0010641412477210288
2015-02-18,-0.0018129940356080843
2015-02-19,0.0003922771583324547
2015-02-20,0.007091020172841134
2015-02-23,-0.0030422653349193585
2015-02-24,0.004729354980312017
2015-02-25,0.0017910855019476202
2015-02-26,0.0032552907137526343
2015-02-27,-0.005334156759655984
2015-03-02,0.011923987378295031
2015-03-03,-0.003777893878853411
2015-03-04,-0.0029905589673122623
2015-03-05,0.0010035979529514627
2015-03-06,-0.014930367577334569
2015-03-09,0.0037485222978572708
2015-03-10,-0.016937818991928588
2015-03-11,-0.005185658925204506
2015-03-12,0.009855040486913547
2015-03-13,-0.005764168613217047
2015-03-16,0.011312733692779187
2015-03-17,-0.0023110809752151518
2015-03-18,0.008172789772525446
2015-03-19,-0.004123042348505024
2015-03-20,0.009340202083830684
2015-03-23,-0.0008123000014139681
2015-03-24,-0.0043558192656922845
2015-03-25,-0.019414310328949358
2015-03-26,-0.0030770846771616123
2015-03-27,0.0035625354559485345
2015-03-30,0.010345635824521748
2015-03-31,-0.008597581182686387
2015-04-01,-0.005715378180712105
2015-04-02,0.0012195929243885573
2015-04-06,0.007958780376472019
2015-04-07,0.0009673502463927175
2015-04-08,0.003929402291503514
2015-04-09,0.0034802027896525534
2015-04-10,0.00543535517208471
2015-04-13,-0.0035578428996816402
2015-04-14,-0.0004849601540010129
2015-04-15,0.004099004393001815
2015-04-16,-0.0006890343787805397
2015-04-17,-0.013680769674132343
2015-04-20,0.013047410386318514
2015-04-21,-0.001221212255153148
2015-04-22,0.00741664117520302
2015-04-23,-0.0006439272604706892
2015-04-24,0.014186561315721491
2015-04-27,-0.003563724890062625
2015-04-28,-0.0007078538109207555
2015-04-29,-0.004336471108139506
2015-04-30,-0.011150590016026363
2015-05-01,0.011128477160532002
2015-05-04,0.0004033947518169434
2015-05-05,-0.009774041956813084
2015-05-06,-0.004814359498701348
2015-05-07,0.005836709787044869
2015-05-08,0.011295546728366856
2015-05-11,-0.005628671011408626
2015-05-12,-0.0015674681564386006
2015-05-13,-7.80962871248514e-05
2015-05-14,0.012541180495012183
2015-05-15,-0.00014763656478389287
2015-05-18,0.0026764678409609832
2015-05-19,-0.0013033551590007075
2015-05-20,-0.0012276127609397447
2015-05-21,0.0011886160094622955
2015-05-22,-0.003711663741763682
2015-05-26,-0.010262658195539509
2015-05-27,0.011761203306969836
2015-05-28,-0.001065356643662585
2015-05-29,-0.005015494872154691
