Date,XLK,XLF,XLE,XLV,XLI,XLP,XLY,XLU,XLB
2015-01-02,18.041675567626953,16.160781860351562,25.215261459350586,56.59071731567383,45.97441101074219,35.385520935058594,31.50434684753418,16.28675079345703,19.24805450439453
2015-01-05,17.76628303527832,15.820967674255371,24.17214584350586,56.3021240234375,44.900516510009766,35.13668441772461,30.90180778503418,16.087629318237305,18.757457733154297
2015-01-06,17.55206298828125,15.579182624816895,23.817045211791992,56.112483978271484,44.3473014831543,35.09280014038086,30.59391975402832,16.097929000854492,18.591283798217773
2015-01-07,17.700693130493164,15.742552757263184,23.867774963378906,57.431800842285156,44.68085861206055,35.69291305541992,31.077730178833008,16.25585174560547,18.80097007751465
2015-01-08,18.08977699279785,15.97780704498291,24.403596878051758,58.413055419921875,45.57575988769531,36.23448944091797,31.543928146362305,16.369140625,19.24805450439453
2015-01-09,18.032941818237305,15.762158393859863,24.210193634033203,57.8935432434082,45.0876350402832,35.941741943359375,31.178892135620117,16.266151428222656,19.149139404296875
2015-01-12,17.823104858398438,15.631453514099121,23.51268196105957,57.918277740478516,44.77848815917969,35.83195877075195,31.011735916137695,16.228389739990234,19.105623245239258
2015-01-13,17.80998992919922,15.579182624816895,23.32560920715332,57.662681579589844,44.688995361328125,35.824642181396484,31.011735916137695,16.273019790649414,18.89197540283203
2015-01-14,17.70943832397461,15.3569917678833,23.398536682128906,57.571983337402344,44.44493103027344,35.71487045288086,30.63790512084961,16.41377830505371,18.670408248901367
2015-01-15,17.48212242126465,15.167478561401367,23.100509643554688,56.953529357910156,44.2334098815918,35.77341079711914,30.2420654296875,16.544239044189453,18.63479995727539
2015-01-16,17.652610778808594,15.350456237792969,23.851924896240234,58.0255012512207,44.52628707885742,36.05884552001953,30.64229393005371,16.69186019897461,18.931533813476562
2015-01-20,17.801246643066406,15.285112380981445,23.880456924438477,58.0255012512207,44.843570709228516,36.20521926879883,30.466371536254883,16.73305892944336,18.96318817138672
2015-01-21,17.831846237182617,15.32431697845459,24.365550994873047,58.14091110229492,45.20967102050781,36.3808708190918,30.664295196533203,16.8944149017334,19.149139404296875
2015-01-22,18.12474250793457,15.703343391418457,24.47968864440918,58.83355712890625,45.93374252319336,36.74679183959961,31.24045181274414,16.82232093811035,19.390485763549805
2015-01-23,18.120376586914062,15.533435821533203,24.30531120300293,58.49549865722656,45.55136489868164,36.33694839477539,31.196468353271484,16.87038230895996,19.08979034423828
2015-01-26,18.046049118041992,15.61185073852539,24.65406608581543,58.80057907104492,45.60832595825195,36.33694839477539,31.359209060668945,16.86008644104004,19.17287826538086
2015-01-27,17.52583122253418,15.44194221496582,24.638221740722656,58.38005828857422,45.00627899169922,35.91978454589844,31.10850715637207,16.884113311767578,19.04231834411621
2015-01-28,17.495227813720703,15.160942077636719,23.66804313659668,57.53899002075195,44.61577224731445,35.50263595581055,30.703882217407227,16.739925384521484,18.698101043701172
2015-01-29,17.661354064941406,15.285112380981445,23.74730110168457,58.0255012512207,45.12831497192383,35.788063049316406,31.1216983795166,16.96307373046875,18.943405151367188
2015-01-30,17.442771911621094,15.036779403686523,23.953386306762695,57.11845016479492,44.3961067199707,35.144012451171875,30.783044815063477,16.588869094848633,18.86823081970215
2015-02-02,17.622011184692383,15.278573036193848,24.685775756835938,57.440040588378906,45.05509567260742,35.56117248535156,31.060144424438477,16.66095733642578,19.038360595703125
2015-02-03,17.823104858398438,15.533435821533203,25.361099243164062,57.82758712768555,45.78730773925781,35.87587356567383,31.719858169555664,16.722755432128906,19.45774269104004
2015-02-04,17.85807228088379,15.49422550201416,24.942583084106445,57.101966857910156,45.43748474121094,35.89051055908203,31.93099021911621,16.520204544067383,19.331138610839844
2015-02-05,18.024194717407227,15.651058197021484,25.300853729248047,58.06672668457031,45.82798385620117,36.073482513427734,32.1288948059082,16.671268463134766,19.79799461364746
2015-02-06,17.967361450195312,15.775221824645996,25.30718994140625,57.53899002075195,45.72221755981445,35.91248321533203,32.08052062988281,15.984633445739746,19.75052261352539
