Date,AAPL,MSFT,GOOGL,AMZN,JPM,XOM,JNJ,PG,KO,WMT,NVDA,META,V,HD,DIS,INTC,CSCO,PFE,BA,MCD
2015-01-02,24.171762466430664,39.607181549072266,26.227924346923828,15.425999641418457,46.06679916381836,56.77791976928711,75.73736572265625,65.06999969482422,29.215930938720703,23.072307586669922,0.48188379406929016,77.70574951171875,60.9748420715332,78.20404815673828,84.71678161621094,27.896459579467773,19.530841827392578,17.771636962890625,113.6572036743164,69.31178283691406
2015-01-05,23.490798950195312,39.24296569824219,25.728179931640625,15.10949993133545,44.63664627075195,55.22434997558594,75.20838928222656,64.76065826416016,29.215930938720703,23.005159378051758,0.473744660615921,76.45771789550781,59.628883361816406,76.56329345703125,83.47880554199219,27.581897735595703,19.14178466796875,17.675203323364258,112.87004089355469,68.54629516601562
2015-01-06,23.493011474609375,38.66698455810547,25.093223571777344,14.76449966430664,43.47926330566406,54.930782318115234,74.83883666992188,64.46561431884766,29.437782287597656,23.182435989379883,0.45938149094581604,75.42757415771484,59.24465560913086,76.32890319824219,83.03601837158203,27.067848205566406,19.13471221923828,17.822690963745117,111.54061889648438,68.67265319824219
2015-01-07,23.822429656982422,39.15825653076172,25.01942253112793,14.920999526977539,43.54561996459961,55.487342834472656,76.4909896850586,64.80377960205078,29.805240631103516,23.797513961791992,0.4581846296787262,75.42757415771484,60.03841781616211,78.9450454711914,83.88545989990234,27.635608673095703,19.31156349182129,18.06659507751465,113.27235412597656,69.86920928955078
2015-01-08,24.737741470336914,40.31021499633789,25.106595993041992,15.02299976348877,44.518699645996094,56.41094207763672,77.09242248535156,65.54485321044922,30.165760040283203,24.29979133605957,0.47542038559913635,77.4383316040039,60.843692779541016,80.69164276123047,84.7529525756836,28.14963150024414,19.460107803344727,18.435304641723633,115.27527618408203,70.12933349609375
2015-01-09,24.76427459716797,39.97139358520508,24.800010681152344,14.846500396728516,43.744659423828125,56.33140563964844,76.0417251586914,64.93329620361328,29.832965850830078,23.998958587646484,0.47733545303344727,77.00250244140625,59.9417839050293,79.3079605102539,85.16862487792969,28.20334815979004,19.658172607421875,18.5203914642334,115.04785919189453,69.2746353149414
2015-01-12,24.154069900512695,39.47166061401367,24.618736267089844,14.570500373840332,43.36867904663086,55.248844146728516,75.78084564208984,64.69587707519531,29.562583923339844,24.17891502380371,0.47135084867477417,75.99217987060547,59.82443618774414,78.95259094238281,85.35839080810547,28.080583572387695,19.84210205078125,18.588462829589844,114.46184539794922,69.1259994506836
2015-01-13,24.368528366088867,39.268367767333984,24.85350227355957,14.737000465393066,43.37605667114258,55.04698181152344,75.91126251220703,64.96929168701172,29.555639266967773,23.988218307495117,0.4706326723098755,75.7247314453125,59.999298095703125,78.43090057373047,86.01805114746094,28.003873825073242,19.877466201782227,18.401269912719727,114.7242431640625,68.9922103881836
2015-01-14,24.27567481994629,38.9295654296875,25.058053970336914,14.66349983215332,41.87957000732422,54.88793182373047,75.36058807373047,64.74623107910156,29.507112503051758,23.263011932373047,0.47254765033721924,75.55634307861328,58.79829788208008,77.60673522949219,85.15054321289062,27.888790130615234,19.750133514404297,18.423959732055664,114.03329467773438,68.03347778320312
2015-01-15,23.616819381713867,38.522979736328125,24.962963104248047,14.34749984741211,40.537879943847656,54.410892486572266,74.26640319824219,64.65270233154297,29.3823184967041,23.46982765197754,0.4691963195800781,73.34750366210938,58.239227294921875,76.374267578125,85.25898742675781,27.76602554321289,19.389368057250977,18.378578186035156,113.82340240478516,67.9145736694336
